Brand,Model,Variant,Year,Category,Fuel,Transmission,Seats,PricePerDay,SecurityDeposit,City,TrustScore,ImageVerification
"Ford","Aspire","Ambiente",2018,"sedan","petrol","manual",5,1650,4000,"Jaipur",87,"fallback"
"Toyota","Urban Cruiser","E",2022,"suv","petrol","manual",7,3250,6000,"Goa",87,"fallback"
"Hyundai","i20","Magna",2015,"hatchback","petrol","automatic",5,1450,3000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Swift","L",2018,"sedan","petrol","manual",5,1600,4000,"Mumbai",87,"verified"
"Honda","WR-V","S",2018,"suv","petrol","manual",7,2500,6000,"Delhi NCR",87,"fallback"
"Hyundai","Venue","Asta",2022,"suv","petrol","manual",7,3600,6000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Ertiga","L",2012,"mpv","petrol","automatic",7,2100,5000,"Hyderabad",87,"verified"
"Maruti Suzuki","Baleno","Base",2020,"hatchback","diesel","manual",5,1600,3000,"Chennai",87,"verified"
"Maruti Suzuki","Celerio","Base",2017,"hatchback","petrol","manual",5,1100,3000,"Pune",87,"fallback"
"Honda","Brio","V",2014,"hatchback","diesel","automatic",5,1550,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","Ignis","V",2023,"hatchback","cng","manual",5,2200,3000,"Ahmedabad",87,"fallback"
"Ford","Aspire","Titanium+",2015,"sedan","diesel","manual",5,1600,4000,"Jaipur",87,"fallback"
"Maruti Suzuki","Dzire","L",2022,"sedan","petrol","automatic",5,2150,4000,"Goa",81,"fallback"
"Maruti Suzuki","Ignis","Z",2019,"hatchback","electric","manual",5,1300,3000,"Chandigarh",81,"fallback"
"Volkswagen","Vento","GT",2014,"sedan","diesel","manual",5,1600,4000,"Mumbai",87,"fallback"
"Tata","Tiago","XM",2021,"hatchback","petrol","manual",5,2100,3000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Baleno","ZX",2020,"hatchback","petrol","manual",5,1900,3000,"Bengaluru",87,"verified"
"Hyundai","Aura","Magna",2021,"sedan","diesel","manual",5,2350,4000,"Hyderabad",87,"fallback"
"Hyundai","Verna","Era",2021,"sedan","petrol","manual",5,2550,4000,"Chennai",87,"verified"
"Honda","Jazz","VX",2015,"sedan","petrol","manual",5,1650,4000,"Pune",87,"fallback"
"Renault","Kiger","RXZ",2022,"suv","petrol","manual",7,3350,6000,"Kolkata",87,"fallback"
"Honda","WR-V","ZX",2020,"suv","cng","manual",7,2300,6000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Alto","ZX",2021,"hatchback","petrol","manual",5,1100,3000,"Jaipur",81,"fallback"
"Ford","EcoSport","Trend+",2016,"suv","petrol","manual",7,2300,6000,"Goa",87,"fallback"
"Kia","Sonet","GTX",2020,"suv","petrol","manual",7,2950,6000,"Chandigarh",87,"fallback"
"Hyundai","Aura","Asta",2020,"sedan","diesel","manual",5,2600,4000,"Mumbai",87,"fallback"
"Hyundai","Verna","Base",2013,"sedan","petrol","manual",5,1600,4000,"Delhi NCR",87,"verified"
"Tata","Tigor","XZA+",2023,"sedan","petrol","manual",5,2550,4000,"Bengaluru",87,"fallback"
"Tata","Tigor","XM",2021,"sedan","diesel","manual",5,2850,4000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Dzire","V",2010,"sedan","diesel","manual",5,1750,4000,"Chennai",87,"fallback"
"Ford","Aspire","Ambiente",2015,"sedan","diesel","manual",5,1850,4000,"Pune",87,"fallback"
"Maruti Suzuki","WagonR","Z",2011,"hatchback","petrol","manual",5,1100,3000,"Kolkata",87,"fallback"
"Hyundai","Verna","Era",2018,"sedan","petrol","manual",5,1600,4000,"Ahmedabad",87,"verified"
"Maruti Suzuki","Dzire","V",2017,"sedan","diesel","manual",5,1900,4000,"Jaipur",87,"fallback"
"Volkswagen","Vento","Comfortline",2013,"sedan","petrol","manual",5,1600,4000,"Goa",87,"fallback"
"Mahindra","TUV300","W8",2015,"suv","diesel","manual",7,2300,6000,"Chandigarh",87,"fallback"
"Honda","City","ZX",2012,"sedan","petrol","manual",5,1600,4000,"Mumbai",87,"verified"
"Maruti Suzuki","Ertiga","Base",2020,"mpv","cng","manual",7,2500,5000,"Delhi NCR",87,"verified"
"Maruti Suzuki","WagonR","Base",2010,"hatchback","petrol","manual",5,1100,3000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Dzire","L",2013,"sedan","petrol","manual",5,1600,4000,"Hyderabad",87,"fallback"
"Tata","Harrier","XZA+",2023,"suv","petrol","manual",7,2300,6000,"Chennai",87,"verified"
"Maruti Suzuki","S-Presso","Base",2019,"hatchback","petrol","manual",5,1150,3000,"Pune",87,"fallback"
"Hyundai","Grand i10","Era",2018,"hatchback","petrol","manual",5,1350,3000,"Kolkata",87,"fallback"
"Mahindra","Bolero","W11",2018,"suv","petrol","automatic",7,2300,6000,"Ahmedabad",87,"fallback"
"Ford","Endeavour","Titanium+",2009,"suv","diesel","manual",7,2300,6000,"Jaipur",87,"fallback"
"Renault","Kiger","RXZ",2021,"suv","petrol","automatic",7,2550,6000,"Goa",87,"fallback"
"Chevrolet","Beat","LS",2012,"hatchback","electric","manual",5,1150,3000,"Chandigarh",87,"fallback"
"Renault","Kwid","RXL",2017,"hatchback","petrol","manual",5,1250,3000,"Mumbai",81,"fallback"
"Hyundai","Grand i10","SX",2015,"hatchback","cng","manual",5,1100,3000,"Delhi NCR",87,"fallback"
"Mahindra","TUV300","AX7",2019,"suv","petrol","automatic",7,2950,6000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Alto","ZX",2007,"hatchback","petrol","manual",5,1100,3000,"Hyderabad",87,"fallback"
"Honda","Amaze","ZX",2020,"sedan","diesel","manual",5,2850,4000,"Chennai",87,"fallback"
"Hyundai","i20","Era",2009,"hatchback","petrol","manual",5,1100,3000,"Pune",81,"fallback"
"Maruti Suzuki","Dzire","Base",2009,"sedan","diesel","manual",5,1600,4000,"Kolkata",87,"fallback"
"Mahindra","XUV500","W8(O)",2014,"suv","petrol","manual",7,2300,6000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Alto","ZX",2023,"hatchback","petrol","automatic",5,1700,3000,"Jaipur",87,"fallback"
"Renault","Kwid","RXT",2017,"hatchback","diesel","manual",5,1100,3000,"Goa",87,"fallback"
"Maruti Suzuki","Alto","Base",2014,"hatchback","petrol","manual",5,1100,3000,"Chandigarh",87,"fallback"
"Maruti Suzuki","WagonR","Z",2023,"hatchback","diesel","manual",5,1900,3000,"Mumbai",81,"fallback"
"Maruti Suzuki","Dzire","V",2010,"sedan","diesel","automatic",5,1850,4000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","S-Presso","Z",2020,"hatchback","petrol","manual",5,1100,3000,"Bengaluru",87,"fallback"
"MG","Hector","Savvy",2019,"suv","petrol","manual",7,2300,6000,"Hyderabad",87,"verified"
"Maruti Suzuki","Ertiga","Z",2013,"mpv","petrol","manual",7,2100,5000,"Chennai",87,"verified"
"Hyundai","Grand i10","SX",2020,"hatchback","petrol","manual",5,1650,3000,"Pune",87,"fallback"
"Honda","City","V",2018,"sedan","petrol","automatic",5,1850,4000,"Kolkata",87,"verified"
"Renault","Kwid","RXT",2019,"hatchback","diesel","manual",5,1150,3000,"Ahmedabad",87,"fallback"
"MG","Hector","Sharp",2021,"suv","cng","manual",7,2900,6000,"Jaipur",87,"verified"
"Volkswagen","Taigun","Trendline",2023,"suv","diesel","manual",7,3350,6000,"Goa",87,"fallback"
"Volkswagen","Ameo","Highline+",2016,"sedan","petrol","manual",5,1600,4000,"Chandigarh",87,"fallback"
"Toyota","Glanza","V",2023,"hatchback","petrol","manual",5,1400,3000,"Mumbai",87,"fallback"
"Honda","WR-V","ZX",2017,"suv","petrol","manual",7,2300,6000,"Delhi NCR",87,"fallback"
"Tata","Altroz","XE",2020,"hatchback","petrol","manual",5,2000,3000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Swift","Base",2021,"sedan","petrol","automatic",5,3250,4000,"Hyderabad",87,"verified"
"Honda","Brio","S",2013,"hatchback","cng","automatic",5,1100,3000,"Chennai",87,"fallback"
"Maruti Suzuki","Ertiga","Base",2023,"mpv","diesel","manual",7,3250,5000,"Pune",87,"verified"
"Honda","WR-V","ZX",2020,"suv","diesel","automatic",7,3300,6000,"Kolkata",87,"fallback"
"Volkswagen","Vento","GT",2011,"sedan","petrol","manual",5,1600,4000,"Ahmedabad",81,"fallback"
"Kia","Seltos","HTK",2022,"suv","petrol","manual",7,2300,6000,"Jaipur",87,"verified"
"Honda","City","S",2022,"sedan","petrol","manual",5,1850,4000,"Goa",87,"verified"
"Toyota","Fortuner","V",2017,"suv","petrol","manual",7,2300,6000,"Chandigarh",87,"verified"
"Volkswagen","Vento","Highline+",2022,"sedan","diesel","manual",5,1950,4000,"Mumbai",87,"fallback"
"Hyundai","Creta","SX",2022,"suv","electric","automatic",7,3500,6000,"Delhi NCR",87,"verified"
"Skoda","Rapid","Monte Carlo",2013,"sedan","petrol","manual",5,1600,4000,"Bengaluru",87,"fallback"
"Mahindra","Thar","W11",2023,"suv","petrol","manual",7,2700,6000,"Hyderabad",87,"verified"
"Maruti Suzuki","Ignis","Z",2018,"hatchback","diesel","manual",5,1950,3000,"Chennai",87,"fallback"
"Hyundai","Verna","Sportz",2006,"sedan","cng","manual",5,1600,4000,"Pune",87,"verified"
"Maruti Suzuki","Baleno","ZX",2023,"hatchback","petrol","manual",5,2850,3000,"Kolkata",87,"verified"
"Maruti Suzuki","Swift","L",2023,"sedan","petrol","manual",5,1600,4000,"Ahmedabad",87,"verified"
"Maruti Suzuki","S-Presso","ZX",2022,"hatchback","petrol","automatic",5,2650,3000,"Jaipur",87,"fallback"
"Volkswagen","Taigun","Highline+",2022,"suv","hybrid","manual",7,2650,6000,"Goa",87,"fallback"
"Honda","WR-V","ZX",2019,"suv","diesel","manual",7,3000,6000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Swift","Z",2019,"sedan","petrol","manual",5,1850,4000,"Mumbai",87,"verified"
"Volkswagen","Polo","Highline",2019,"hatchback","diesel","manual",5,1150,3000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Baleno","L",2020,"hatchback","petrol","manual",5,1500,3000,"Bengaluru",87,"verified"
"Maruti Suzuki","WagonR","V",2005,"hatchback","petrol","manual",5,1100,3000,"Hyderabad",87,"fallback"
"Toyota","Innova","G+",2016,"mpv","cng","manual",7,2100,5000,"Chennai",87,"verified"
"Honda","WR-V","V",2020,"suv","petrol","manual",7,2500,6000,"Pune",87,"fallback"
"Ford","Endeavour","Titanium",2021,"suv","petrol","manual",7,2350,6000,"Kolkata",87,"fallback"
"Maruti Suzuki","S-Presso","L",2023,"hatchback","diesel","manual",5,2250,3000,"Ahmedabad",87,"fallback"
"Jaguar","XE","Portfolio",2017,"luxury","diesel","automatic",5,4800,15000,"Jaipur",87,"fallback"
"Ford","Aspire","Ambiente",2015,"sedan","cng","manual",5,1600,4000,"Goa",87,"fallback"
"Audi","Q7","Premium",2018,"luxury","petrol","manual",5,6100,15000,"Chandigarh",87,"fallback"
"Tata","Harrier","XZA",2023,"suv","petrol","manual",7,3300,6000,"Mumbai",87,"verified"
"Maruti Suzuki","Swift","Base",2018,"sedan","diesel","manual",5,1600,4000,"Delhi NCR",87,"verified"
"Honda","Amaze","V",2021,"sedan","petrol","manual",5,2500,4000,"Bengaluru",87,"fallback"
"Skoda","Superb","Monte Carlo",2019,"sedan","hybrid","manual",5,1600,4000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Ertiga","ZX",2022,"mpv","diesel","manual",7,2500,5000,"Chennai",87,"verified"
"Tata","Altroz","XZA+",2023,"hatchback","petrol","manual",5,1500,3000,"Pune",87,"fallback"
"Maruti Suzuki","WagonR","ZX",2015,"hatchback","petrol","manual",5,1100,3000,"Kolkata",87,"fallback"
"Hyundai","Venue","Asta",2019,"suv","petrol","manual",7,2350,6000,"Ahmedabad",81,"fallback"
"Maruti Suzuki","Ignis","Z",2022,"hatchback","cng","manual",5,2300,3000,"Jaipur",87,"fallback"
"Hyundai","Creta","Sportz",2021,"suv","diesel","manual",7,3350,6000,"Goa",87,"verified"
"Maruti Suzuki","Celerio","Base",2015,"hatchback","petrol","manual",5,1100,3000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Ertiga","Z",2019,"mpv","petrol","manual",7,2150,5000,"Mumbai",87,"verified"
"Volkswagen","Ameo","GT",2020,"sedan","petrol","automatic",5,2000,4000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Celerio","Z",2018,"hatchback","petrol","manual",5,1800,3000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Swift","Z",2011,"sedan","cng","manual",5,1600,4000,"Hyderabad",87,"verified"
"Mahindra","Bolero","W8(O)",2005,"suv","petrol","manual",7,2300,6000,"Chennai",87,"fallback"
"Maruti Suzuki","S-Presso","Z",2019,"hatchback","petrol","automatic",5,1400,3000,"Pune",87,"fallback"
"Honda","Brio","VX",2015,"hatchback","diesel","manual",5,1600,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","Dzire","Z",2012,"sedan","diesel","manual",5,1600,4000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Dzire","L",2017,"sedan","petrol","manual",5,1750,4000,"Jaipur",87,"fallback"
"Maruti Suzuki","Ertiga","ZX",2016,"mpv","petrol","manual",7,2200,5000,"Goa",87,"verified"
"BMW","X3","M Sport",2022,"luxury","petrol","manual",5,6200,15000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Ignis","Base",2017,"hatchback","petrol","automatic",5,1800,3000,"Mumbai",87,"fallback"
"Range Rover","Evoque","HSE",2012,"luxury","petrol","manual",5,4800,15000,"Delhi NCR",87,"fallback"
"Audi","A4","Premium Plus",2010,"luxury","petrol","manual",5,4800,15000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Baleno","Z",2020,"hatchback","petrol","manual",5,2850,3000,"Hyderabad",87,"verified"
"Maruti Suzuki","Dzire","L",2018,"sedan","petrol","manual",5,1900,4000,"Chennai",87,"fallback"
"Mahindra","Thar","W6",2021,"suv","petrol","manual",7,2700,6000,"Pune",87,"verified"
"Maruti Suzuki","S-Presso","ZX",2022,"hatchback","petrol","manual",5,1200,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","Celerio","Z",2015,"hatchback","diesel","manual",5,1550,3000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Baleno","V",2022,"hatchback","petrol","manual",5,2200,3000,"Jaipur",81,"verified"
"Toyota","Fortuner","G+",2014,"suv","diesel","automatic",7,2350,6000,"Goa",81,"verified"
"Toyota","Glanza","V",2022,"hatchback","petrol","manual",5,1100,3000,"Chandigarh",87,"fallback"
"Tata","Tiago","XZA+",2020,"hatchback","diesel","manual",5,1300,3000,"Mumbai",87,"fallback"
"Renault","Triber","RXL",2020,"mpv","petrol","manual",7,2200,5000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","Dzire","V",2010,"sedan","petrol","manual",5,1600,4000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Baleno","ZX",2019,"hatchback","cng","manual",5,1350,3000,"Hyderabad",87,"verified"
"Toyota","Glanza","ZX",2019,"hatchback","petrol","manual",5,1850,3000,"Chennai",87,"fallback"
"Hyundai","i10","Era",2011,"hatchback","petrol","manual",5,1100,3000,"Pune",87,"fallback"
"Hyundai","Aura","Asta",2023,"sedan","diesel","manual",5,1850,4000,"Kolkata",87,"fallback"
"Toyota","Glanza","V",2020,"hatchback","petrol","automatic",5,2800,3000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","Ignis","L",2021,"hatchback","petrol","manual",5,1150,3000,"Jaipur",81,"fallback"
"Renault","Kiger","RXL",2022,"suv","petrol","automatic",7,3900,6000,"Goa",87,"fallback"
"Honda","Jazz","E",2017,"sedan","petrol","manual",5,1850,4000,"Chandigarh",87,"fallback"
"Skoda","Slavia","Ambition",2022,"sedan","diesel","manual",5,3150,4000,"Mumbai",87,"verified"
"Maruti Suzuki","Dzire","ZX",2014,"sedan","diesel","manual",5,1600,4000,"Delhi NCR",87,"fallback"
"Hyundai","Grand i10","Magna",2014,"hatchback","diesel","manual",5,1150,3000,"Bengaluru",87,"fallback"
"Maruti Suzuki","Ertiga","Z",2017,"mpv","diesel","manual",7,2100,5000,"Hyderabad",87,"verified"
"Toyota","Etios","ZX",2019,"sedan","diesel","manual",5,2500,4000,"Chennai",87,"fallback"
"Jaguar","F-Pace","Pure",2019,"luxury","diesel","manual",5,6650,15000,"Pune",87,"fallback"
"Honda","Brio","V",2012,"hatchback","diesel","manual",5,1100,3000,"Kolkata",87,"fallback"
"Maruti Suzuki","Baleno","Z",2023,"hatchback","petrol","manual",5,2850,3000,"Ahmedabad",87,"verified"
"Hyundai","i20","SX(O)",2014,"hatchback","diesel","manual",5,1200,3000,"Jaipur",87,"fallback"
"Hyundai","Aura","SX(O)",2023,"sedan","petrol","manual",5,1600,4000,"Goa",87,"fallback"
"Maruti Suzuki","Ignis","V",2022,"hatchback","petrol","automatic",5,2450,3000,"Chandigarh",87,"fallback"
"Hyundai","i10","Sportz",2011,"hatchback","petrol","automatic",5,1350,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Dzire","V",2015,"sedan","petrol","manual",5,2000,4000,"Delhi NCR",87,"fallback"
"Renault","Kiger","RXL",2022,"suv","diesel","manual",7,2550,6000,"Bengaluru",81,"fallback"
"Maruti Suzuki","Ignis","V",2019,"hatchback","electric","manual",5,1400,3000,"Hyderabad",87,"fallback"
"Maruti Suzuki","Dzire","ZX",2019,"sedan","petrol","manual",5,2500,4000,"Chennai",87,"fallback"
"Maruti Suzuki","Ertiga","L",2013,"mpv","cng","manual",7,2100,5000,"Pune",87,"verified"
"Maruti Suzuki","Alto","Base",2011,"hatchback","cng","manual",5,1100,3000,"Kolkata",87,"fallback"
"Hyundai","Creta","SX(O)",2022,"suv","petrol","manual",7,2500,6000,"Ahmedabad",87,"verified"
"Maruti Suzuki","Celerio","Base",2018,"hatchback","diesel","manual",5,1550,3000,"Jaipur",87,"fallback"
"Volkswagen","Taigun","Highline+",2021,"suv","diesel","manual",7,2650,6000,"Goa",87,"fallback"
"MG","ZS EV","Savvy",2022,"luxury","petrol","manual",5,7450,15000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Dzire","V",2009,"sedan","petrol","manual",5,1600,4000,"Mumbai",87,"fallback"
"Maruti Suzuki","Ignis","L",2018,"hatchback","petrol","automatic",5,1300,3000,"Delhi NCR",87,"fallback"
"Maruti Suzuki","S-Presso","V",2019,"hatchback","diesel","manual",5,1600,3000,"Bengaluru",87,"fallback"
"Hyundai","Creta","SX(O)",2017,"suv","diesel","manual",7,2300,6000,"Hyderabad",87,"verified"
"Mahindra","Scorpio","W11",2009,"suv","petrol","manual",7,2300,6000,"Chennai",87,"verified"
"Maruti Suzuki","WagonR","Base",2005,"hatchback","petrol","manual",5,1300,3000,"Pune",87,"fallback"
"Maruti Suzuki","Celerio","Z",2022,"hatchback","petrol","automatic",5,3400,3000,"Kolkata",87,"fallback"
"Hyundai","Venue","SX",2023,"suv","petrol","manual",7,2350,6000,"Ahmedabad",87,"fallback"
"Toyota","Urban Cruiser","G",2022,"suv","diesel","manual",7,2300,6000,"Jaipur",87,"fallback"
"Mahindra","Bolero","W6",2017,"suv","diesel","manual",7,2300,6000,"Goa",81,"fallback"
"Renault","Kwid","RXL",2019,"hatchback","petrol","manual",5,1100,3000,"Chandigarh",81,"fallback"
"Maruti Suzuki","Baleno","Base",2017,"hatchback","electric","manual",5,1150,3000,"Mumbai",87,"verified"
"Hyundai","i10","Base",2008,"hatchback","diesel","manual",5,1200,3000,"Delhi NCR",87,"fallback"
"Volkswagen","Polo","Trendline",2012,"hatchback","diesel","manual",5,1100,3000,"Bengaluru",87,"fallback"
"Maruti Suzuki","WagonR","Base",2013,"hatchback","electric","manual",5,1150,3000,"Hyderabad",81,"fallback"
"Toyota","Fortuner","V",2016,"suv","diesel","manual",7,2300,6000,"Chennai",87,"verified"
"Hyundai","Verna","Asta",2020,"sedan","diesel","automatic",5,3050,4000,"Pune",87,"verified"
"Maruti Suzuki","Alto","V",2009,"hatchback","petrol","automatic",5,1400,3000,"Kolkata",87,"fallback"
"Hyundai","i10","Magna",2009,"hatchback","petrol","manual",5,1100,3000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","WagonR","ZX",2022,"hatchback","petrol","manual",5,1550,3000,"Jaipur",87,"fallback"
"Chevrolet","Cruze","LT",2010,"sedan","diesel","manual",5,1600,4000,"Goa",81,"fallback"
"Renault","Kwid","RXT",2022,"hatchback","petrol","manual",5,1800,3000,"Chandigarh",87,"fallback"
"Hyundai","i10","Base",2010,"hatchback","petrol","manual",5,1100,3000,"Mumbai",87,"fallback"
"Maruti Suzuki","Baleno","ZX",2022,"hatchback","diesel","manual",5,2150,3000,"Delhi NCR",87,"verified"
"Mahindra","Thar","W11",2015,"suv","diesel","manual",7,2450,6000,"Bengaluru",87,"verified"
"Maruti Suzuki","Baleno","L",2020,"hatchback","diesel","manual",5,2400,3000,"Hyderabad",87,"verified"
"Toyota","Etios","ZX",2013,"sedan","petrol","automatic",5,1900,4000,"Chennai",87,"fallback"
"Ford","Figo","Trend+",2010,"sedan","petrol","manual",5,1600,4000,"Pune",87,"fallback"
"Hyundai","Aura","Magna",2020,"sedan","cng","automatic",5,2100,4000,"Kolkata",87,"fallback"
"Volkswagen","Vento","Highline",2012,"sedan","diesel","manual",5,1600,4000,"Ahmedabad",87,"fallback"
"Maruti Suzuki","S-Presso","Z",2021,"hatchback","petrol","automatic",5,3250,3000,"Jaipur",87,"fallback"
"Honda","WR-V","VX",2022,"suv","electric","manual",7,3550,6000,"Goa",87,"fallback"
"Toyota","Urban Cruiser","VX",2021,"suv","petrol","manual",7,3350,6000,"Chandigarh",87,"fallback"
"Maruti Suzuki","Ignis","Z",2020,"hatchback","diesel","manual",5,1250,3000,"Mumbai",87,"fallback"
"Tata","Tiago","XZ",2023,"hatchback","cng","manual",5,1100,3000,"Delhi NCR",87,"fallback"
